Team_1,Team_2,Ground,toss_winner,Bat,Winner,Toss
Pakistan,Bangladesh,Karachi,Pakistan,first,Pakistan,win
England,NewZealand,Manchester,England,2nd,England,win
West Indies,Australia,Bridgetown,West Indies,2nd,West Indies,win
Netherlands,Kenya,Belfast,Netherlands,first,Netherlands,loss
Ireland,Scotland,Belfast,Ireland,2nd,Ireland,loss
Canada,Netherlands,Belfast,Canada,2nd,Canada,loss
Scotland,Bermuda,Belfast,Scotland,2nd,Scotland,win
Kenya,Canada,Belfast,Kenya,2nd,Kenya,loss
Ireland,Bermuda,Belfast,Ireland,first,Ireland,win
Ireland,Kenya,Belfast,Ireland,2nd,Ireland,win
Netherlands,Scotland,Belfast,Netherlands,2nd,Netherlands,win
Scotland,Kenya,Belfast,Scotland,2nd,Scotland,loss
Canada,Bermuda,Belfast,Canada,2nd,Canada,win
Sri Lanka,Zimbabwe,King City (NW),Sri Lanka,2nd,Sri Lanka,win
Pakistan,Canada,King City (NW),Pakistan,first,Pakistan,win
Pakistan,Sri Lanka,King City (NW),Pakistan,2nd,Pakistan,win
Pakistan,Zimbabwe,King City (NW),Pakistan,2nd,Pakistan,loss
Sri Lanka,Canada,King City (NW),Sri Lanka,first,Sri Lanka,win
Zimbabwe,Canada,King City (NW),Zimbabwe,first,Zimbabwe,loss
Sri Lanka,Pakistan,King City (NW),Sri Lanka,2nd,Sri Lanka,win
South Africa,Bangladesh,Johannesburg,South Africa,first,South Africa,loss
NewZealand,West Indies,Hamilton,NewZealand,first,NewZealand,win
Australia,South Africa,Melbourne,Australia,first,Australia,win
Australia,South Africa,Brisbane,Australia,2nd,Australia,loss
India,Sri Lanka,Colombo (RPS),India,2nd,India,loss
Australia,NewZealand,Sydney,Australia,first,Australia,win
NewZealand,India,Christchurch,NewZealand,2nd,NewZealand,win
NewZealand,India,Wellington,NewZealand,2nd,NewZealand,win
West Indies,England,Port of Spain,West Indies,2nd,West Indies,win
South Africa,Australia,Johannesburg,South Africa,2nd,South Africa,win
South Africa,Australia,Centurion,South Africa,first,South Africa,loss
Pakistan,Australia,Dubai (DSC),Pakistan,2nd,Pakistan,win
Netherlands,England,Lords,Netherlands,2nd,Netherlands,win
NewZealand,Scotland,The Oval,NewZealand,2nd,NewZealand,win
West Indies,Australia,The Oval,West Indies,2nd,West Indies,loss
India,Bangladesh,Nottingham,India,first,India,win
South Africa,Scotland,The Oval,South Africa,first,South Africa,loss
England,Pakistan,The Oval,England,first,England,loss
Ireland,Bangladesh,Nottingham,Ireland,2nd,Ireland,win
Sri Lanka,Australia,Nottingham,Sri Lanka,2nd,Sri Lanka,win
Pakistan,Netherlands,Lords,Pakistan,first,Pakistan,win
South Africa,NewZealand,Lords,South Africa,first,South Africa,loss
Sri Lanka,West Indies,Nottingham,Sri Lanka,first,Sri Lanka,loss
India,Ireland,Nottingham,India,2nd,India,win
NewZealand,Ireland,Nottingham,NewZealand,first,NewZealand,loss
South Africa,England,Nottingham,South Africa,2nd,South Africa,loss
Sri Lanka,Pakistan,Lords,Sri Lanka,first,Sri Lanka,win
West Indies,India,Lords,West Indies,2nd,West Indies,loss
South Africa,West Indies,The Oval,South Africa,first,South Africa,loss
Pakistan,NewZealand,The Oval,Pakistan,2nd,Pakistan,loss
Sri Lanka,Ireland,Lords,Sri Lanka,first,Sri Lanka,win
England,India,Lords,England,first,England,loss
Pakistan,Ireland,The Oval,Pakistan,first,Pakistan,win
West Indies,England,The Oval,West Indies,2nd,West Indies,loss
Sri Lanka,NewZealand,Nottingham,Sri Lanka,first,Sri Lanka,win
South Africa,India,Nottingham,South Africa,first,South Africa,win
Pakistan,South Africa,Nottingham,Pakistan,first,Pakistan,win
Sri Lanka,West Indies,The Oval,Sri Lanka,first,Sri Lanka,loss
Pakistan,Sri Lanka,Lords,Pakistan,2nd,Pakistan,loss
West Indies,Bangladesh,Basseterre,West Indies,2nd,West Indies,loss
Pakistan,Sri Lanka,Colombo (RPS),Pakistan,first,Pakistan,win
NewZealand,Sri Lanka,Colombo (RPS),NewZealand,first,NewZealand,win
NewZealand,Sri Lanka,Colombo (RPS),NewZealand,first,NewZealand,win
Pakistan,NewZealand,Dubai (DSC),Pakistan,first,Pakistan,loss
Pakistan,NewZealand,Dubai (DSC),Pakistan,first,Pakistan,win
England,South Africa,Johannesburg,England,first,England,loss
South Africa,England,Centurion,South Africa,first,South Africa,win
Sri Lanka,India,Nagpur,Sri Lanka,first,Sri Lanka,loss
India,Sri Lanka,Mohali,India,2nd,India,loss
Ireland,Afghanistan,Colombo (PSS),Ireland,2nd,Ireland,loss
Kenya,Scotland,Nairobi (Gym),Kenya,2nd,Kenya,win
Canada,Ireland,Colombo (SSC),Canada,first,Canada,loss
NewZealand,Bangladesh,Hamilton,NewZealand,2nd,NewZealand,loss
Afghanistan,Canada,Colombo (SSC),Afghanistan,2nd,Afghanistan,loss
Kenya,Scotland,Nairobi (Gym),Kenya,2nd,Kenya,win
Australia,Pakistan,Melbourne,Australia,first,Australia,win
Afghanistan,Ireland,Dubai (DSC),Afghanistan,first,Afghanistan,loss
Netherlands,Canada,Dubai (DSC),Netherlands,2nd,Netherlands,loss
Afghanistan,Scotland,Abu Dhabi,Afghanistan,first,Afghanistan,loss
Kenya,Canada,Dubai (DSC),Kenya,2nd,Kenya,win
Netherlands,Kenya,Abu Dhabi,Netherlands,2nd,Netherlands,win
Ireland,Scotland,Dubai (DSC),Ireland,first,Ireland,win
Netherlands,Afghanistan,Dubai (DSC),Netherlands,2nd,Netherlands,win
Ireland,Netherlands,Dubai (DSC),Ireland,first,Ireland,win
Afghanistan,Ireland,Dubai (DSC),Afghanistan,2nd,Afghanistan,loss
England,Pakistan,Dubai (DSC),England,2nd,England,loss
Pakistan,England,Dubai (DSC),Pakistan,2nd,Pakistan,win
Australia,West Indies,Hobart,Australia,first,Australia,win
Australia,West Indies,Sydney,Australia,2nd,Australia,loss
Australia,NewZealand,Wellington,Australia,2nd,Australia,loss
Zimbabwe,West Indies,Port of Spain,Zimbabwe,first,Zimbabwe,win
NewZealand,Sri Lanka,Providence,NewZealand,2nd,NewZealand,loss
West Indies,Ireland,Providence,West Indies,first,West Indies,win
India,Afghanistan,Gros Islet,India,2nd,India,win
Pakistan,Bangladesh,Gros Islet,Pakistan,first,Pakistan,win
India,South Africa,Gros Islet,India,first,India,loss
Australia,Pakistan,Gros Islet,Australia,first,Australia,win
Sri Lanka,Zimbabwe,Providence,Sri Lanka,first,Sri Lanka,win
West Indies,England,Providence,West Indies,2nd,West Indies,win
NewZealand,Zimbabwe,Providence,NewZealand,2nd,NewZealand,win
Pakistan,NewZealand,The Oval,Pakistan,2nd,Pakistan,loss
Australia,Bangladesh,Bridgetown,Australia,first,Australia,win
South Africa,Afghanistan,Bridgetown,South Africa,first,South Africa,loss
England,Pakistan,Bridgetown,England,2nd,England,win
South Africa,NewZealand,Bridgetown,South Africa,first,South Africa,win
Australia,India,Bridgetown,Australia,first,Australia,loss
Sri Lanka,West Indies,Bridgetown,Sri Lanka,first,Sri Lanka,win
NewZealand,Pakistan,Bridgetown,NewZealand,first,NewZealand,loss
England,South Africa,Bridgetown,England,first,England,win
West Indies,India,Bridgetown,West Indies,first,West Indies,loss
Australia,Sri Lanka,Bridgetown,Australia,first,Australia,win
Pakistan,South Africa,Gros Islet,Pakistan,first,Pakistan,win
England,NewZealand,Gros Islet,England,2nd,England,loss
Sri Lanka,India,Gros Islet,Sri Lanka,2nd,Sri Lanka,loss
Australia,West Indies,Gros Islet,Australia,2nd,Australia,loss
England,Sri Lanka,Gros Islet,England,2nd,England,loss
Australia,Pakistan,Gros Islet,Australia,2nd,Australia,win
England,Australia,Bridgetown,England,2nd,England,win
South Africa,West Indies,North Sound,South Africa,first,South Africa,loss
South Africa,West Indies,North Sound,South Africa,first,South Africa,loss
NewZealand,Sri Lanka,Lauderhill,NewZealand,first,NewZealand,win
Sri Lanka,NewZealand,Lauderhill,Sri Lanka,2nd,Sri Lanka,loss
India,Zimbabwe,Harare,India,2nd,India,win
India,Zimbabwe,Harare,India,2nd,India,win
Pakistan,Australia,Birmingham,Pakistan,first,Pakistan,win
Pakistan,Australia,Birmingham,Pakistan,first,Pakistan,win
England,Pakistan,Cardiff,England,2nd,England,win
England,Pakistan,Cardiff,England,2nd,England,loss
South Africa,Zimbabwe,Bloemfontein,South Africa,2nd,South Africa,loss
South Africa,Zimbabwe,Kimberley,South Africa,first,South Africa,win
South Africa,Pakistan,Abu Dhabi,South Africa,2nd,South Africa,loss
South Africa,Pakistan,Abu Dhabi,South Africa,2nd,South Africa,loss
Sri Lanka,Australia,Perth,Sri Lanka,2nd,Sri Lanka,loss
NewZealand,Pakistan,Auckland,NewZealand,2nd,NewZealand,win
NewZealand,Pakistan,Hamilton,NewZealand,first,NewZealand,loss
Pakistan,NewZealand,Christchurch,Pakistan,first,Pakistan,win
India,South Africa,Durban,India,first,India,win
England,Australia,Adelaide,England,2nd,England,loss
Australia,England,Melbourne,Australia,first,Australia,win
West Indies,Pakistan,Gros Islet,West Indies,first,West Indies,win
India,West Indies,Port of Spain,India,first,India,loss
Sri Lanka,England,Bristol,Sri Lanka,2nd,Sri Lanka,win
Sri Lanka,Australia,Pallekele,Sri Lanka,first,Sri Lanka,loss
Sri Lanka,Australia,Pallekele,Sri Lanka,first,Sri Lanka,win
England,India,Manchester,England,2nd,England,loss
Pakistan,Zimbabwe,Harare,Pakistan,first,Pakistan,loss
Pakistan,Zimbabwe,Harare,Pakistan,first,Pakistan,win
England,West Indies,The Oval,England,2nd,England,win
West Indies,England,The Oval,West Indies,first,West Indies,loss
Bangladesh,West Indies,Dhaka,Bangladesh,2nd,Bangladesh,win
Australia,South Africa,Cape Town,Australia,2nd,Australia,loss
NewZealand,Zimbabwe,Harare,NewZealand,2nd,NewZealand,win
South Africa,Australia,Johannesburg,South Africa,2nd,South Africa,loss
NewZealand,Zimbabwe,Harare,NewZealand,first,NewZealand,loss
England,India,Kolkata,England,2nd,England,loss
Pakistan,Sri Lanka,Abu Dhabi,Pakistan,2nd,Pakistan,loss
Pakistan,Bangladesh,Dhaka,Pakistan,first,Pakistan,win
Australia,India,Sydney,Australia,first,Australia,loss
India,Australia,Melbourne,India,2nd,India,loss
NewZealand,Zimbabwe,Auckland,NewZealand,2nd,NewZealand,loss
NewZealand,Zimbabwe,Hamilton,NewZealand,2nd,NewZealand,loss
NewZealand,South Africa,Wellington,NewZealand,2nd,NewZealand,win
South Africa,NewZealand,Hamilton,South Africa,2nd,South Africa,win
South Africa,NewZealand,Auckland,South Africa,first,South Africa,loss
Ireland,Kenya,Mombasa,Ireland,2nd,Ireland,win
Ireland,Kenya,Mombasa,Ireland,2nd,Ireland,loss
Pakistan,England,Dubai (DSC),Pakistan,first,Pakistan,loss
Ireland,Kenya,Mombasa,Ireland,first,Ireland,win
England,Pakistan,Dubai (DSC),England,first,England,win
England,Pakistan,Abu Dhabi,England,first,England,win
Netherlands,Canada,Dubai (DSC),Netherlands,first,Netherlands,win
Scotland,Kenya,ICCA Dubai,Scotland,first,Scotland,win
Ireland,Kenya,Dubai (DSC),Ireland,2nd,Ireland,loss
Afghanistan,Netherlands,Dubai (DSC),Afghanistan,2nd,Afghanistan,loss
Afghanistan,Canada,ICCA Dubai,Afghanistan,first,Afghanistan,win
Ireland,Scotland,Dubai (DSC),Ireland,first,Ireland,win
Ireland,Canada,Dubai (DSC),Ireland,2nd,Ireland,loss
Netherlands,Scotland,ICCA Dubai,Netherlands,2nd,Netherlands,loss
Ireland,Netherlands,Dubai (DSC),Ireland,2nd,Ireland,win
Scotland,Canada,Dubai (DSC),Scotland,2nd,Scotland,loss
Ireland,Afghanistan,Dubai (DSC),Ireland,2nd,Ireland,loss
Australia,West Indies,Gros Islet,Australia,2nd,Australia,loss
South Africa,India,Johannesburg,South Africa,first,South Africa,loss
West Indies,Australia,Bridgetown,West Indies,first,West Indies,win
Sri Lanka,Pakistan,Hambantota,Sri Lanka,first,Sri Lanka,win
Pakistan,Sri Lanka,Hambantota,Pakistan,first,Pakistan,win
England,West Indies,Nottingham,England,2nd,England,loss
West Indies,NewZealand,Lauderhill,West Indies,first,West Indies,loss
West Indies,NewZealand,Lauderhill,West Indies,first,West Indies,win
Bangladesh,Ireland,Belfast,Bangladesh,first,Bangladesh,loss
Bangladesh,Ireland,Belfast,Bangladesh,first,Bangladesh,win
Bangladesh,Ireland,Belfast,Bangladesh,2nd,Bangladesh,loss
Scotland,Bangladesh,The Hague,Scotland,first,Scotland,win
Bangladesh,Netherlands,The Hague,Bangladesh,2nd,Bangladesh,loss
Netherlands,Bangladesh,The Hague,Netherlands,2nd,Netherlands,loss
India,Sri Lanka,Pallekele,India,first,India,loss
Pakistan,Australia,Dubai (DSC),Pakistan,2nd,Pakistan,win
South Africa,England,Chester-le-Street,South Africa,2nd,South Africa,win
Australia,Pakistan,Dubai (DSC),Australia,first,Australia,loss
NewZealand,India,Chennai,NewZealand,first,NewZealand,loss
Sri Lanka,Zimbabwe,Hambantota,Sri Lanka,first,Sri Lanka,loss
Australia,Ireland,Colombo (RPS),Australia,2nd,Australia,loss
India,Afghanistan,Colombo (RPS),India,first,India,loss
South Africa,Zimbabwe,Hambantota,South Africa,2nd,South Africa,win
NewZealand,Bangladesh,Pallekele,NewZealand,first,NewZealand,loss
England,Afghanistan,Colombo (RPS),England,first,England,loss
South Africa,Sri Lanka,Hambantota,South Africa,first,South Africa,loss
Australia,West Indies,Colombo (RPS),Australia,2nd,Australia,loss
Pakistan,NewZealand,Pallekele,Pakistan,first,Pakistan,win
India,England,Colombo (RPS),India,first,India,loss
Pakistan,Bangladesh,Pallekele,Pakistan,2nd,Pakistan,loss
West Indies,England,Pallekele,West Indies,first,West Indies,win
Pakistan,South Africa,Colombo (RPS),Pakistan,2nd,Pakistan,loss
Australia,India,Colombo (RPS),Australia,2nd,Australia,loss
England,NewZealand,Pallekele,England,2nd,England,loss
Sri Lanka,West Indies,Pallekele,Sri Lanka,2nd,Sri Lanka,loss
Australia,South Africa,Colombo (RPS),Australia,2nd,Australia,win
India,Pakistan,Colombo (RPS),India,2nd,India,loss
Sri Lanka,England,Pallekele,Sri Lanka,first,Sri Lanka,loss
Pakistan,Australia,Colombo (RPS),Pakistan,first,Pakistan,loss
India,South Africa,Colombo (RPS),India,first,India,loss
Sri Lanka,Pakistan,Colombo (RPS),Sri Lanka,first,Sri Lanka,win
West Indies,Australia,Colombo (RPS),West Indies,first,West Indies,win
West Indies,Sri Lanka,Colombo (RPS),West Indies,first,West Indies,win
West Indies,Bangladesh,Dhaka,West Indies,first,West Indies,win
India,England,Pune,India,2nd,India,win
South Africa,NewZealand,Durban,South Africa,2nd,South Africa,loss
England,India,Mumbai,England,2nd,England,win
NewZealand,South Africa,East London,NewZealand,2nd,NewZealand,win
Pakistan,India,Bengaluru,Pakistan,2nd,Pakistan,win
South Africa,NewZealand,Port Elizabeth,South Africa,first,South Africa,win
India,Pakistan,Ahmedabad,India,first,India,loss
Sri Lanka,Australia,Sydney,Sri Lanka,2nd,Sri Lanka,loss
Sri Lanka,Australia,Melbourne,Sri Lanka,first,Sri Lanka,loss
England,NewZealand,Auckland,England,first,England,loss
NewZealand,England,Hamilton,NewZealand,first,NewZealand,loss
West Indies,Australia,Brisbane,West Indies,first,West Indies,win
England,NewZealand,Wellington,England,2nd,England,win
West Indies,Zimbabwe,North Sound,West Indies,2nd,West Indies,loss
Pakistan,South Africa,Centurion,Pakistan,first,Pakistan,win
Afghanistan,Scotland,Sharjah,Afghanistan,first,Afghanistan,win
West Indies,Zimbabwe,North Sound,West Indies,first,West Indies,win
Afghanistan,Scotland,Sharjah,Afghanistan,2nd,Afghanistan,loss
Canada,Kenya,ICCA Dubai,Canada,2nd,Canada,loss
